# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  6 20:26:53 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_insol desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_kepmag:      Kepler Magnitude
#
pl_name,hostname,disposition,pl_orbper,pl_orbsmax,pl_rade,pl_insol,pl_eqt,pl_trandur,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_kepmag
WASP-118 b,WASP-118,CONFIRMED,4.04604350,0.054530,16.141,,1729,4.8048000,6410.00,1.70,1.32,0.160,4.10,376.6580000,10.934
WASP-107 c,WASP-107,CONFIRMED,1088.00000000,,,,,,4425.00,0.67,0.68,0.020,4.63,64.7414000,11.243
WASP-107 b,WASP-107,CONFIRMED,,,,,,,,,,,,64.7414000,11.243
WASP-107 b,WASP-107,CONFIRMED,5.72149040,,,,,,,,,,,64.7414000,11.243
WASP-107 b,WASP-107,CONFIRMED,5.72148926,,,,,,4430.00,0.66,0.69,0.020,4.50,64.7414000,11.243
WASP-107 b,WASP-107,CONFIRMED,5.72149242,0.055300,10.357,,736,2.7386400,,0.66,0.69,,,64.7414000,11.243
WASP-107 b,WASP-107,CONFIRMED,5.72147420,,,,,,4425.00,0.67,0.68,0.020,4.63,64.7414000,11.243
WASP-107 b,WASP-107,CONFIRMED,5.72148800,,,,,,4430.00,0.66,0.69,0.020,4.50,64.7414000,11.243
WASP-107 b,WASP-107,CONFIRMED,5.72147420,0.055800,10.626,,,,4430.00,0.66,0.69,0.020,4.50,64.7414000,11.243
WASP-107 b,WASP-107,CONFIRMED,5.72149000,0.055000,10.536,,770,2.7528000,4430.00,0.66,0.69,0.020,4.50,64.7414000,11.243
V1298 Tau e,V1298 Tau,CONFIRMED,44.16990000,,9.940,,,7.4400000,,1.33,1.09,,,108.1990000,10.514
V1298 Tau e,V1298 Tau,CONFIRMED,40.20000000,0.240900,8.239,,,,5050.00,1.28,1.17,0.100,,108.1990000,10.514
V1298 Tau e,V1298 Tau,CONFIRMED,53.50000000,,9.976,,,,4941.00,1.43,1.26,,4.23,108.1990000,10.514
V1298 Tau d,V1298 Tau,CONFIRMED,12.40580000,0.110300,6.434,,,,5050.00,1.28,1.17,0.100,,108.1990000,10.514
V1298 Tau d,V1298 Tau,CONFIRMED,12.39600000,,6.130,,,5.5900000,,1.33,1.09,,,108.1990000,10.514
V1298 Tau c,V1298 Tau,CONFIRMED,8.24959000,,,,,,,,,,,108.1990000,10.514
V1298 Tau c,V1298 Tau,CONFIRMED,8.24892000,0.084100,5.156,,,,5050.00,1.28,1.17,0.100,,108.1990000,10.514
V1298 Tau c,V1298 Tau,CONFIRMED,8.24380000,,5.050,,,4.6600000,,1.33,1.09,,,108.1990000,10.514
V1298 Tau b,V1298 Tau,CONFIRMED,24.13150000,,9.530,,,6.4200000,,1.33,1.09,,,108.1990000,10.514
V1298 Tau b,V1298 Tau,CONFIRMED,24.14134100,,,,,,,1.41,1.14,,,108.1990000,10.514
V1298 Tau b,V1298 Tau,CONFIRMED,24.13990000,0.171900,9.729,,,,5050.00,1.28,1.17,0.100,,108.1990000,10.514
TRAPPIST-1 h,TRAPPIST-1,CONFIRMED,,0.061935,0.773,,,,,,0.09,,,,12.917
TRAPPIST-1 g,TRAPPIST-1,CONFIRMED,,0.046877,1.148,,,,,,0.09,,,,12.917
TRAPPIST-1 f,TRAPPIST-1,CONFIRMED,,0.038534,1.046,,,,,,0.09,,,,12.917
TRAPPIST-1 f,TRAPPIST-1,CONFIRMED,9.21290000,,,,,,,,,,,,12.917
TRAPPIST-1 e,TRAPPIST-1,CONFIRMED,6.09705000,,,,,,,,,,,,12.917
TRAPPIST-1 e,TRAPPIST-1,CONFIRMED,,0.029283,0.910,,,,,,0.09,,,,12.917
TRAPPIST-1 d,TRAPPIST-1,CONFIRMED,,0.022280,0.784,,,,,,0.09,,,,12.917
TRAPPIST-1 c,TRAPPIST-1,CONFIRMED,,0.015815,1.095,,,,,,0.09,,,,12.917
TRAPPIST-1 c,TRAPPIST-1,CONFIRMED,,,,,315,0.6963000,,0.11,0.09,,5.28,,12.917
TRAPPIST-1 b,TRAPPIST-1,CONFIRMED,,,,,366,0.6020000,,0.11,0.09,,5.28,,12.917
TRAPPIST-1 b,TRAPPIST-1,CONFIRMED,,0.011548,1.121,,,,,,0.09,,,,12.917
TRAPPIST-1 b,TRAPPIST-1,CONFIRMED,1.51087000,,,,,,,,,,,,12.917
Qatar-2 b,Qatar-2,CONFIRMED,1.33711640,,,,,,,,,,,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711655,0.021600,12.890,,,,4645.00,0.71,0.74,-0.020,4.60,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711820,0.021490,12.823,,1292,1.8096000,4645.00,0.71,0.74,0.020,4.60,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711656,,,,,,4645.00,0.71,0.74,0.020,4.60,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33700000,,,,,1.5069600,4459.00,0.76,0.70,,4.52,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711716,,,,,,4645.00,0.71,0.74,0.020,4.60,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711677,0.021360,12.498,,1285,1.8098160,,0.70,0.73,,,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711569,,11.850,,,1.8316800,,0.66,,,,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711647,0.021530,14.056,,,,4645.00,0.78,0.74,0.020,,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711600,,11.500,,,1.8504000,,0.66,,,,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711405,,,,,1.8440000,4459.00,0.76,0.70,,4.52,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711647,0.021530,14.056,,1344,,4645.00,0.78,0.74,0.020,4.53,181.3740000,13.009
Qatar-2 b,Qatar-2,CONFIRMED,1.33711644,,,,,,4645.00,,,,,181.3740000,13.009
K2-99 b,K2-99,CONFIRMED,18.24900000,0.159000,14.460,,,12.0000000,5990.00,3.10,1.60,0.200,3.67,519.2290000,11.014
K2-99 b,K2-99,CONFIRMED,18.25198500,0.159700,11.730,,1113,,6217.00,2.63,1.63,0.210,3.81,519.2290000,11.014
K2-99 b,K2-99,CONFIRMED,18.24841000,,12.480,,,11.4960000,,2.71,,,,519.2290000,11.014
K2-99 b,K2-99,CONFIRMED,18.25221300,,8.300,,,11.0496000,,1.98,,,,519.2290000,11.014
K2-99 b,K2-99,CONFIRMED,18.24870800,,10.536,,,,6033.00,2.28,1.42,0.150,3.78,519.2290000,11.014
K2-99 b,K2-99,CONFIRMED,18.25000000,,,,,10.8679200,6073.27,2.73,1.14,0.169,3.62,519.2290000,11.014
K2-98 b,K2-98,CONFIRMED,10.13600000,,,,,4.9449600,6283.00,1.51,1.23,,4.17,518.6250000,12.102
K2-98 b,K2-98,CONFIRMED,10.13679600,,5.008,,,,6095.00,1.51,1.16,-0.100,4.09,518.6250000,12.102
K2-98 b,K2-98,CONFIRMED,10.13675000,0.094300,4.300,,1102,5.0300000,6120.00,1.31,1.07,-0.200,4.23,518.6250000,12.102
K2-98 b,K2-98,CONFIRMED,10.13892836,,,,,5.3710000,6283.00,1.51,1.23,,4.17,518.6250000,12.102
K2-98 b,K2-98,CONFIRMED,10.13652700,,4.500,,,4.9704000,,1.39,,,,518.6250000,12.102
K2-98 b,K2-98,CONFIRMED,10.13644800,0.097400,5.200,,1092,,6172.00,1.57,1.20,-0.060,4.13,518.6250000,12.102
K2-98 b,K2-98,CONFIRMED,10.13682000,,4.600,,,5.1216000,,1.37,,,,518.6250000,12.102
K2-97 b,K2-97,CONFIRMED,8.40685000,,10.880,,,6.0720000,,4.09,,,,878.4300000,12.409
K2-97 b,K2-97,CONFIRMED,8.40610000,,14.684,,,,4790.00,4.20,1.16,0.420,3.26,878.4300000,12.409
K2-97 b,K2-97,CONFIRMED,8.40600000,,,,,5.6680800,4642.56,4.71,,0.313,,878.4300000,12.409
K2-97 b,K2-97,CONFIRMED,8.40695100,,11.500,,,5.7192000,,4.79,,,,878.4300000,12.409
K2-97 b,K2-97,CONFIRMED,8.40527600,,8.043,,,,4836.00,2.95,1.05,0.270,3.50,878.4300000,12.409
K2-97 b,K2-97,CONFIRMED,8.40610000,,14.684,,,,4790.00,4.20,1.16,0.420,3.26,878.4300000,12.409
K2-97 b,K2-97,CONFIRMED,8.40672600,0.086000,10.610,,1499,,4717.00,4.47,1.20,0.330,3.22,878.4300000,12.409
K2-97 b,K2-97,CONFIRMED,,0.081000,14.684,,,,,4.20,1.16,,,878.4300000,12.409
K2-95 b,K2-95,CONFIRMED,10.13389000,0.065300,3.470,,,2.8400000,3471.00,0.40,0.36,0.110,,179.8540000,15.498
K2-95 b,K2-95,CONFIRMED,10.13380000,,,,,,3411.00,0.41,0.41,,4.81,179.8540000,15.498
K2-95 b,K2-95,CONFIRMED,10.13509100,,3.700,,,2.2800000,3410.00,0.44,0.43,0.140,,179.8540000,15.498
K2-95 b,K2-95,CONFIRMED,10.13427900,,14.800,,,3.3696000,,0.43,,,,179.8540000,15.498
K2-95 b,K2-95,CONFIRMED,10.13446000,,1.920,,,2.8560000,,0.23,,,,179.8540000,15.498
K2-95 b,K2-95,CONFIRMED,10.13423100,,1.760,,,,,0.23,,,,179.8540000,15.498
K2-95 b,K2-95,CONFIRMED,10.13464540,0.052500,3.310,,474,,3566.00,0.40,0.41,0.100,4.85,179.8540000,15.498
K2-95 b,K2-95,CONFIRMED,10.13401600,0.069600,3.880,,383,,3548.00,0.42,0.44,-0.030,4.84,179.8540000,15.498
K2-92 b,K2-92,REFUTED,0.70181800,,2.560,,,1.5312000,,,,,,481.5730000,12.136
K2-91 b,K2-91,CONFIRMED,1.41929871,,,,,1.0480000,3326.00,0.36,0.35,,4.86,62.5785000,14.464
K2-91 b,K2-91,CONFIRMED,1.41971400,,1.180,,,1.3680000,,0.28,,,,62.5785000,14.464
K2-90 c,K2-90,CONFIRMED,2.90022000,,1.360,,,1.3032000,,0.65,,,,134.1880000,13.723
K2-90 b,K2-90,CONFIRMED,13.73288000,,2.640,,,2.8608000,,0.65,,,,134.1880000,13.723
K2-90 b,K2-90,CONFIRMED,13.71468745,,,,,4.3390000,4133.13,0.65,0.65,-0.038,4.62,134.1880000,13.723
K2-90 b,K2-90,CONFIRMED,13.73331400,0.096000,2.600,,502,2.9520000,4484.00,0.62,0.63,-0.225,4.65,134.1880000,13.723
K2-9 b,K2-9,CONFIRMED,18.44865300,,3.330,,,2.4900000,3765.00,0.52,,,,82.9631000,14.957
K2-9 b,K2-9,CONFIRMED,18.44883000,0.084800,1.600,,284,,3468.00,0.25,0.24,-0.460,,82.9631000,14.957
K2-9 b,K2-9,CONFIRMED,18.44951000,,3.090,,,2.4144000,,0.47,,,,82.9631000,14.957
K2-89 b,K2-89,CONFIRMED,1.09596200,,0.617,,,0.9264000,,0.32,,,,86.0386000,13.307
K2-88 b,K2-88,CONFIRMED,4.61244000,,1.270,,,1.1448000,,0.26,,,,110.5610000,14.594
K2-87 b,K2-87,CONFIRMED,9.72664000,,8.420,,,4.6800000,,1.51,,,,491.2420000,13.691
K2-87 b,K2-87,CONFIRMED,9.72661800,0.094000,7.600,,979,4.5600000,5747.00,1.40,1.16,0.328,4.21,491.2420000,13.691
K2-86 b,K2-86,CONFIRMED,8.77586400,,1.975,,,,5129.00,0.72,0.76,-0.350,4.52,258.6990000,12.801
K2-86 b,K2-86,CONFIRMED,8.77709000,,5.100,,,4.2240000,,0.80,,,,258.6990000,12.801
K2-85 b,K2-85,CONFIRMED,0.68455900,,1.200,,,,4427.00,0.68,,-0.360,4.30,97.2179000,12.099
K2-85 b,K2-85,CONFIRMED,0.68455300,,1.276,,,,4441.00,0.65,0.68,-0.140,4.65,97.2179000,12.099
K2-85 b,K2-85,CONFIRMED,0.68458757,,,,,0.9120000,4222.00,0.73,0.66,,4.53,97.2179000,12.099
K2-85 b,K2-85,CONFIRMED,0.68457500,,1.400,,,,4462.00,0.71,,-0.280,4.17,97.2179000,12.099
K2-85 b,K2-85,CONFIRMED,0.68454100,,1.360,,,0.8184000,,0.67,,,,97.2179000,12.099
K2-84 c,K2-84,CONFIRMED,27.85220000,,2.160,,,4.6080000,,0.84,,,,284.8760000,13.138
K2-84 b,K2-84,CONFIRMED,6.42149000,,2.510,,,2.8824000,,0.84,,,,284.8760000,13.138
K2-83 c,K2-83,CONFIRMED,10.00102551,,,,,3.5090000,3848.00,0.56,0.56,,4.68,125.5290000,13.844
K2-83 c,K2-83,CONFIRMED,9.99791000,,1.700,,,2.7120000,,0.42,,,,125.5290000,13.844
K2-83 b,K2-83,CONFIRMED,2.74712800,,1.360,,,1.6608000,,0.42,,,,125.5290000,13.844
K2-82 b,K2-82,REFUTED,7.19583400,,2.600,,,2.2168800,,,,,,1741.9700000,13.519
K2-81 b,K2-81,CONFIRMED,6.10241000,,2.380,,,2.3448000,,0.70,,,,252.3180000,13.927
K2-81 b,K2-81,CONFIRMED,6.10099028,,,,,2.3780000,4784.00,0.76,0.77,,4.57,252.3180000,13.927
K2-80 d,K2-80,CONFIRMED,28.88190000,,2.390,,,4.2240000,,0.79,,,,200.8020000,12.388
K2-80 d,K2-80,CONFIRMED,28.86725300,,2.552,,,,5377.00,0.84,0.91,0.070,4.65,200.8020000,12.388
K2-80 c,K2-80,CONFIRMED,5.60530900,,1.489,,,,5377.00,0.84,0.91,0.070,4.65,200.8020000,12.388
K2-80 c,K2-80,CONFIRMED,5.60473000,,1.410,,,3.0480000,,0.79,,,,200.8020000,12.388
K2-80 b,K2-80,CONFIRMED,19.09120000,,2.030,,,5.1360000,,0.79,,,,200.8020000,12.388
K2-80 b,K2-80,CONFIRMED,19.09995000,,2.113,,,,5377.00,0.84,0.91,0.070,4.65,200.8020000,12.388
K2-8 c,K2-8,CONFIRMED,5.06347000,,2.320,,,1.6824000,,0.71,,,,403.5130000,14.384
K2-8 c,K2-8,CONFIRMED,5.06468000,,2.310,,877,,,,,,,403.5130000,14.384
K2-8 c,K2-8,CONFIRMED,5.06390640,,2.460,,,1.8100000,4797.00,0.73,,,,403.5130000,14.384
K2-8 b,K2-8,CONFIRMED,10.35176000,0.085600,2.970,,691,,4890.00,0.74,0.79,-0.010,,403.5130000,14.384
K2-8 b,K2-8,CONFIRMED,10.35160000,,2.860,,,2.4480000,,0.71,,,,403.5130000,14.384
K2-8 b,K2-8,CONFIRMED,10.35848367,,,,,3.2630000,4779.00,0.77,0.77,0.010,4.55,403.5130000,14.384
K2-8 b,K2-8,CONFIRMED,10.35326300,,3.090,,,2.4100000,4797.00,0.73,,,,403.5130000,14.384
K2-79 b,K2-79,CONFIRMED,10.99474800,,4.050,,,,5926.00,1.25,1.06,,4.25,256.0110000,11.801
K2-79 b,K2-79,CONFIRMED,10.99394800,,3.147,,,,5839.00,1.04,1.06,0.200,4.41,256.0110000,11.801
K2-79 b,K2-79,CONFIRMED,10.99501000,,4.550,,,4.4856000,,1.37,,,,256.0110000,11.801
K2-78 b,K2-78,REFUTED,2.29016000,,1.420,,,2.8896000,,,,,,146.9050000,11.892
K2-77 b,K2-77,CONFIRMED,8.19981400,,2.498,,,,5070.00,0.78,0.85,0.120,4.67,141.7310000,11.896
K2-77 b,K2-77,CONFIRMED,8.20080000,,,,,,4865.60,0.79,0.79,0.237,4.54,141.7310000,11.896
K2-77 b,K2-77,CONFIRMED,8.20023000,,2.530,,,2.5632000,,0.78,,,,141.7310000,11.896
K2-76 b,K2-76,REFUTED,11.98968600,,9.010,,,5.8200000,5700.00,0.96,,,,693.3340000,13.008
K2-76 b,K2-76,REFUTED,11.99899626,,,,,6.6560000,5759.00,1.57,1.03,0.020,4.06,693.3340000,13.008
K2-76 b,K2-76,REFUTED,23.97260000,,11.100,,,5.3400000,,,,,,693.3340000,13.008
K2-76 b,K2-76,REFUTED,11.98970000,,,,,5.3520000,5759.00,1.57,1.03,0.020,4.06,693.3340000,13.008
K2-76 b,K2-76,REFUTED,11.98934000,,14.770,,,5.6856000,,1.73,,,,693.3340000,13.008
K2-75 c,K2-75,CONFIRMED,18.28606900,,2.626,,,,6022.00,1.24,1.17,0.300,4.26,561.9300000,12.566
K2-75 c,K2-75,CONFIRMED,18.28325700,,2.310,,,6.0300000,5800.00,1.01,,,,561.9300000,12.566
K2-75 c,K2-75,CONFIRMED,18.28900000,,3.160,,,6.7200000,,1.49,,,,561.9300000,12.566
K2-75 b,K2-75,CONFIRMED,7.81794900,,2.549,,,,6022.00,1.24,1.17,0.300,4.26,561.9300000,12.566
K2-75 b,K2-75,CONFIRMED,7.81751000,,3.080,,,5.1840000,,1.49,,,,561.9300000,12.566
K2-75 b,K2-75,CONFIRMED,7.81733990,,2.160,,,5.4700000,5800.00,1.01,,,,561.9300000,12.566
K2-74 b,K2-74,CONFIRMED,19.56555700,,2.959,,,,5929.00,1.09,0.99,-0.210,4.24,377.8220000,12.430
K2-74 b,K2-74,CONFIRMED,19.56880000,,3.660,,,5.7120000,,1.05,,,,377.8220000,12.430
K2-74 b,K2-74,CONFIRMED,19.56508600,,2.940,,,5.0800000,5804.00,1.01,,,,377.8220000,12.430
K2-73 b,K2-73,CONFIRMED,7.49569000,,2.710,,,3.5904000,,1.08,,,,269.1830000,11.745
K2-73 b,K2-73,CONFIRMED,7.49566130,,4.740,,,3.5100000,6634.00,1.77,,,,269.1830000,11.745
K2-73 b,K2-73,CONFIRMED,7.49500000,,,,,3.5280000,5865.00,1.06,1.06,0.030,4.42,269.1830000,11.745
K2-73 b,K2-73,CONFIRMED,7.49491004,,,,,3.8300000,5865.00,1.06,1.06,0.030,4.42,269.1830000,11.745
K2-73 b,K2-73,CONFIRMED,7.49569200,,2.625,,,,5844.00,1.05,1.04,0.090,4.35,269.1830000,11.745
K2-72 b,K2-72,CONFIRMED,5.57731470,,1.540,,,1.6500000,3563.00,0.43,,,,66.4321000,14.407
K2-71 b,K2-71,CONFIRMED,6.98627940,,3.320,,,1.8700000,3891.00,0.57,,,,153.1920000,14.875
K2-70 b,K2-70,CONFIRMED,13.97820000,,2.690,,,3.4440000,,0.78,,,,232.9640000,12.770
K2-70 b,K2-70,CONFIRMED,13.98746633,,,,,3.9580000,5064.00,0.79,0.85,,4.57,232.9640000,12.770
K2-70 b,K2-70,CONFIRMED,13.97876000,,2.770,,,3.4900000,5026.00,0.77,,,,232.9640000,12.770
K2-70 b,K2-70,CONFIRMED,13.97851800,,2.750,,,,5131.00,0.80,0.85,0.060,4.53,232.9640000,12.770
K2-7 b,K2-7,CONFIRMED,28.67992000,0.181400,2.670,,651,,5772.00,0.96,0.97,-0.070,,738.5530000,13.054
K2-7 b,K2-7,CONFIRMED,28.69110000,,4.300,,,7.8720000,,1.60,,,,738.5530000,13.054
K2-69 b,K2-69,CONFIRMED,7.06588740,,3.070,,,1.6500000,4059.00,0.61,,,,180.6970000,14.807
K2-69 b,K2-69,CONFIRMED,7.06500000,,2.400,,,1.7520000,,0.49,,,,180.6970000,14.807
K2-68 b,K2-68,CONFIRMED,8.05493210,,2.010,,,2.7800000,4720.00,0.72,,,,168.6520000,12.597
K2-68 b,K2-68,CONFIRMED,8.05423000,,1.730,,,2.9760000,,0.66,,,,168.6520000,12.597
K2-68 b,K2-68,CONFIRMED,8.05478700,,1.828,,,,4893.00,0.70,0.75,-0.210,4.74,168.6520000,12.597
K2-67 b,K2-67,REFUTED,24.38720000,,,,,5.4240000,6059.00,1.54,1.13,,4.12,1574.0500000,14.617
K2-67 b,K2-67,REFUTED,24.38740700,,18.300,,,6.0600000,5931.00,1.09,,,,1574.0500000,14.617
K2-67 b,K2-67,REFUTED,24.38752000,,22.400,,,6.0288000,,1.43,,,,1574.0500000,14.617
K2-67 b,K2-67,REFUTED,24.38724000,,17.400,,,5.9270400,,,,,,1574.0500000,14.617
K2-67 b,K2-67,REFUTED,24.39499240,,,,,6.0960000,6059.00,1.54,1.13,,4.12,1574.0500000,14.617
K2-66 b,K2-66,CONFIRMED,5.06892320,,2.930,,,4.3400000,6490.00,1.59,,,,513.8770000,12.051
K2-65 b,K2-65,CONFIRMED,12.64784900,,1.650,,,2.9900000,4711.00,0.72,,,,,10.396
K2-65 b,K2-65,CONFIRMED,12.64655000,,1.470,,,2.9280000,,0.72,,,,,10.396
K2-65 b,K2-65,CONFIRMED,12.65309622,,,,,3.4770000,,,,,,,10.396
K2-65 b,K2-65,CONFIRMED,12.64781500,,1.382,,,,4799.00,0.67,0.70,-0.340,4.55,,10.396
K2-64 b,K2-64,CONFIRMED,6.53147301,,,,,3.1670000,5391.00,0.88,0.94,,4.53,499.8910000,13.894
K2-64 b,K2-64,CONFIRMED,6.53111780,,2.850,,,3.1800000,5313.00,0.82,,,,499.8910000,13.894
K2-64 b,K2-64,CONFIRMED,6.53142000,,2.790,,,3.2640000,,0.87,,,,499.8910000,13.894
K2-63 c,K2-63,CONFIRMED,25.45781500,,2.990,,,4.6000000,5686.00,0.95,,,,517.5340000,12.703
K2-63 c,K2-63,CONFIRMED,25.45690000,,3.660,,,4.8000000,,1.27,,,,517.5340000,12.703
K2-63 b,K2-63,CONFIRMED,20.25820900,,2.080,,,4.9700000,5686.00,0.95,,,,517.5340000,12.703
K2-63 b,K2-63,CONFIRMED,20.26530000,,2.890,,,5.2560000,,1.27,,,,517.5340000,12.703
K2-62 c,K2-62,CONFIRMED,16.19803000,,1.730,,,1.6080000,,0.58,,,,112.4670000,12.045
K2-62 c,K2-62,CONFIRMED,16.19720100,,1.891,,,,4636.00,0.65,0.68,-0.290,4.70,112.4670000,12.045
K2-62 c,K2-62,CONFIRMED,16.19718900,,2.110,,,1.4300000,4500.00,0.69,,,,112.4670000,12.045
K2-62 b,K2-62,CONFIRMED,6.67176860,,2.180,,,1.5800000,4500.00,0.69,,,,112.4670000,12.045
K2-62 b,K2-62,CONFIRMED,6.67196000,,1.697,,,1.5600000,,0.58,,,,112.4670000,12.045
K2-62 b,K2-62,CONFIRMED,6.67177400,,1.926,,,,4636.00,0.65,0.68,-0.290,4.70,112.4670000,12.045
K2-62 b,K2-62,CONFIRMED,6.67010938,,,,,1.5970000,4555.00,0.70,0.72,,4.61,112.4670000,12.045
K2-61 b,K2-61,CONFIRMED,2.57333000,,2.030,,,2.8080000,,1.05,,,,405.7320000,12.975
K2-61 b,K2-61,CONFIRMED,2.57353520,,1.940,,,2.6100000,5680.00,0.95,,,,405.7320000,12.975
K2-61 b,K2-61,CONFIRMED,2.57341300,,1.933,,,,5761.00,1.02,1.03,0.170,4.38,405.7320000,12.975
K2-61 b,K2-61,CONFIRMED,2.57275378,,,,,2.1440000,5718.00,1.00,1.02,,4.45,405.7320000,12.975
K2-60 b,K2-60,CONFIRMED,3.00265400,,10.450,,,3.1176000,,1.52,,,,491.8700000,12.590
K2-60 b,K2-60,CONFIRMED,3.00234671,,,,,3.2710000,5630.00,1.45,1.00,0.180,4.11,491.8700000,12.590
K2-60 b,K2-60,CONFIRMED,3.00263760,,6.450,,,3.1100000,5425.00,0.86,,,,491.8700000,12.590
K2-60 b,K2-60,CONFIRMED,3.00260000,,,,,2.8800000,5630.00,1.45,1.00,0.180,4.11,491.8700000,12.590
K2-60 b,K2-60,CONFIRMED,3.00265000,0.045000,7.656,,1400,3.0800000,5500.00,1.12,0.97,0.010,4.07,491.8700000,12.590
K2-6 b,K2-6,CONFIRMED,30.94030000,,2.440,,,5.2800000,,0.86,,,,316.8190000,12.510
K2-6 b,K2-6,CONFIRMED,30.94191000,0.189800,2.500,,615,,5850.00,0.96,0.97,-0.140,,316.8190000,12.510
K2-6 b,K2-6,CONFIRMED,30.94459300,,2.312,,,,5617.00,0.86,0.93,-0.120,4.67,316.8190000,12.510
K2-6 b,K2-6,CONFIRMED,30.94464800,,3.060,,,5.2700000,5710.00,0.96,,,,316.8190000,12.510
K2-59 c,K2-59,CONFIRMED,11.29665000,,2.080,,,1.8000000,,0.64,,,,311.3130000,13.869
K2-59 c,K2-59,CONFIRMED,11.29515800,,2.470,,,1.9200000,4775.00,0.73,,,,311.3130000,13.869
K2-59 b,K2-59,CONFIRMED,20.69845300,,2.690,,,2.9300000,4775.00,0.73,,,,311.3130000,13.869
K2-59 b,K2-59,CONFIRMED,20.69150000,,2.100,,,2.2800000,,0.64,,,,311.3130000,13.869
K2-58 d,K2-58,CONFIRMED,22.88114500,,1.780,,,3.2300000,4998.00,0.76,,,,181.7460000,12.150
K2-58 d,K2-58,CONFIRMED,22.88200000,,1.840,,,3.1200000,,0.84,,,,181.7460000,12.150
K2-58 d,K2-58,CONFIRMED,22.88159000,,1.752,,,,5134.00,0.80,0.86,0.110,4.54,181.7460000,12.150
K2-58 c,K2-58,CONFIRMED,2.53712000,,1.710,,,2.1600000,,0.84,,,,181.7460000,12.150
K2-58 c,K2-58,CONFIRMED,2.53707100,,1.625,,,,5134.00,0.80,0.86,0.110,4.54,181.7460000,12.150
K2-58 c,K2-58,CONFIRMED,2.53704220,,1.640,,,2.0900000,4998.00,0.76,,,,181.7460000,12.150
K2-58 b,K2-58,CONFIRMED,7.05240378,,,,,2.1850000,5020.00,0.84,0.83,,4.51,181.7460000,12.150
K2-58 b,K2-58,CONFIRMED,7.05235000,,2.720,,,2.0472000,,0.84,,,,181.7460000,12.150
K2-58 b,K2-58,CONFIRMED,7.05247500,,2.594,,,,5134.00,0.80,0.86,0.110,4.54,181.7460000,12.150
K2-58 b,K2-58,CONFIRMED,7.05252730,,2.620,,,1.9600000,4998.00,0.76,,,,181.7460000,12.150
K2-57 b,K2-57,CONFIRMED,9.00740000,,2.180,,,2.4240000,,0.60,,,,264.2130000,14.101
K2-57 b,K2-57,CONFIRMED,9.00715600,,2.530,,,2.5400000,4388.00,0.68,,,,264.2130000,14.101
K2-55 b,K2-55,CONFIRMED,2.84928160,,,,,,4456.00,0.63,0.70,,4.67,159.5220000,13.087
K2-55 b,K2-55,CONFIRMED,2.84930000,,,,,1.8720000,4279.00,0.74,0.67,,4.53,159.5220000,13.087
K2-55 b,K2-55,CONFIRMED,2.84947127,,,,,2.0930000,4279.00,0.74,0.67,,4.53,159.5220000,13.087
K2-55 b,K2-55,CONFIRMED,2.84930200,,4.070,,,2.0616000,,0.66,,,,159.5220000,13.087
K2-55 b,K2-55,CONFIRMED,2.84928180,,4.430,,,2.0700000,4237.00,0.65,,,,159.5220000,13.087
K2-53 b,K2-53,CONFIRMED,12.20763200,,2.470,,,3.6400000,4684.00,0.72,,,,138.0180000,11.888
K2-53 b,K2-53,CONFIRMED,12.20773000,,2.340,,,3.6264000,,0.71,,,,138.0180000,11.888
K2-53 b,K2-53,CONFIRMED,12.20911650,,,,,3.8070000,4555.00,0.82,0.72,,4.46,138.0180000,11.888
